Unnamed: 0,번호,제목,저자,출판사,출판일
,75,"AI-Assisted Framework for Green-Routing and Load Balancing in Hybrid Software-Defined Networking: Proposal, Challenges and Future Perspective","Etengu, Richard; Tan, Saw Chin; Kwang, Lee Ching; Abbou, Fouad Mohammed; Chuah, Teong Chee",IEEE,2020
,76,AI-demonstrators for the ROSAT and D2-missions,"Sielaff, C.;Kuke, R.;Ohlendorf, G.;Heyland, D.",Pergamon Press,1992
,77,AI-enabled knowledge sharing and learning: redesigning roles and processes,"Sundaresan, Shankar; Zhang, Zuopeng",Emerald Group Publishing Limited,2021
,78,AI-Ti-V (Aluminum-Titanium-Vanadium),"Raghavan, V.",ASM INTERNATIONAL,2005
,79,AI-Based Malicious Network Traffic Detection in VANETs,"Lyamin, Nikita; Kleyko, Denis; Delooz, Quentin; Vinel, Alexey",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,80,"AI-driven quantification, staging and outcome prediction of COVID-19 pneumonia","Chassagnon, Guillaume; Vakalopoulou, Maria; Battistella, Enzo; Christodoulidis, Stergios; Hoang-Thi, Trieu-Nghi; Dangeard, Severine; Deutsch, Eric; Andre, Fabrice; Guillo, Enora; Halm, Nara; El Hajj, Stefany; Bompard, Florian; Neveu, Sophie; Hani, Chahine","Elsevier Science B.V., Amsterdam.",2021
,81,AI-powered virtual assistants nudging occupants for energy saving: proactive smart speakers for HVAC control,"He, Tianzhi; Jazizadeh, Farrokh; Arpan, Laura",Taylor & Francis,2022
,82,AI-driven platform enterprise maturity: from human led to machine governed,"Yablonsky, Sergey",Emerald Group Publishing Limited,2021
,83,AI-Ni-V (Aluminum-Nickel-Vanadium),"Raghavan, V.",ASM INTERNATIONAL,2005
,84,AI4 CAN WE DECREASE THE SCREENING BURDEN IN SYSTEMATIC REVIEWS? PERFORMANCE OF TWO NATURAL LANGUAGE PROCESSORS TO EXCLUDE RECORDS,"Tetzlaff, J.; Murad, M.H.; Wang, Z.","Elsevier Science B.V., Amsterdam",2020
,85,AI's 10 to Watch,unknown,COMPUTER SOCIETY,2011
,86,AI-Based human audio processing for COVID-19: A comprehensive overview,"Deshpande, Gauri; Batliner, Anton; Schuller, Björn W.","Elsevier Science B.V., Amsterdam.",2022
,87,AI-Powered Green Cloud and Data Center,"Yang, Jun",IEEE,2019
,88,AI's geographic-outreach: Mexico and Latin America,F. J. Cantu,IEEE,2003
,89,"AI-Enabled, Automated Digital Dull Bit Analysis - Field Experience","Alalsayednassir, Alawi",Curran Associates,2022
,90,AI-based risk assessment for construction site disaster preparedness through deep learning-based digital twinning,"Kamari, Mirsalar; Ham, Youngjib","Elsevier Science B.V., Amsterdam.",2022
,91,AI-Enabled Visual Search.,"KOMPELLA, KASHYAP",Online,2018
,92,AI-guided resource allocation and rescue decision system for medical applications,"Yu, Ye; Zhang, Zhongheng; Sun, Rongju; Liu, Haiping; Yuan, Suwei; Jiang, Ting; Wu, Meng; Guo, Cheng; Guo, Yuelei; Weng, Jianchao; Zheng, Xingdong; Yuan, Feng","Elsevier Science B.V., Amsterdam.",2021
,93,AI-powered therapy sets minds at rest,"Hayes, James",Institution of Engineering and Technology,2020
,94,"AI-enabled emotion-aware robot: The fusion of smart clothing, edge clouds and robotics","Yang, Jun; Wang, Rui; Guan, Xin; Hassan, Mohammad Mehedi; Almogren, Ahmad; Alsanad, Ahmed","Elsevier Science B.V., Amsterdam.",2020
,95,AI-driven data security and privacy,"Yan, Zheng; Susilo, Willy; Bertino, Elisa; Zhang, Jun; Yang, Laurence T.","Elsevier Science B.V., Amsterdam",2020
,96,AI-2/LuxS Is Involved in Increased Biofilm Formation by Streptococcus intermedius in the Presence of Antibiotics,"Ahmed, N.A.; Petersen, F.C.; Scheie, A.A.",AMERICAN SOCIETY FOR MICROBIOLOGY,2009
,97,AI's next challenge is explaining itself,unknown,MCGRAW-HILL,2018
,98,AI: Fears of 'playing God' [Control & Automation Artificial Intelligence],"Gent, E.",Institution of Engineering and Technology,2015
,99,AI-based software helps evaluate economics of treating produced water for agricultural reuse,unknown,"Elsevier Science B.V., Amsterdam.",2016
,100,AI-based Techniques in Food Process Control,"Eerikaeinen, T.; Linko, P.","Laboratory of Chemical Engineering, University of Helsinki",1994
,1,AIS-Satellite Data Used for Arctic Trafficability Studies in the NE-Passage,"Kjerstad, N.","Cupertino, Calif.; International Society of Offshore and Polar Engineers",2011
,2,AI&#x0027;s 10 to Watch Award: Call for Nominations,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,3,AI's inequality problem,"Rotman, David",TECHNOLOGY REVIEW,2022
,4,AI-Gd-Ti (Aluminum-Gadolinium-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,5,AI-Chain: Blockchain Energized Edge Intelligence for Beyond 5G Networks,"Qiu, Chao; Yao, Haipeng; Wang, Xiaofei; Zhang, Ni; Yu, F. Richard; Niyato, Dusit",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,6,AI-Based Automatic Test Equipment With Component Interchangeability,"Soza, Ricardo;Yoon, Stephen S.;Dalton, Aaron M.",unknown,1999
,7,AI-Ga-Ti (Aluminum-uamum-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,8,AI-Dy-Ti (Aluminum-Dysprosium-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,9,AI1 Quantifying Bias in ML-Extracted Variables for Inference in Clinical Oncology,"Lee, J.; Estevez, M.; Segal, B.D.; Sondhi, A.; Cohen, A.B.; Cherng, S.T.","Elsevier Science B.V., Amsterdam",2021
,10,AI-Co-Ti (Aluminum-CobaIt-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,11,AI-HydRa: Advanced hybrid approach using random forest and deep learning for malware classification,"Yoo, Suyeon; Kim, Sungjin; Kim, Seungjae; Kang, Brent Byunghoon","Elsevier Science B.V., Amsterdam.",2021
,12,AI-based detection of erythema migrans and disambiguation against other skin lesions,"Burlina, Philippe M.; Joshi, Neil J.; Mathew, Phil A.; Paul, William; Rebman, Alison W.; Aucott, John N.","Elsevier Science B.V., Amsterdam.",2020
,13,AIS-Satellite Data Used for Arctic Trafficability Studies in the NE-Passage,"Kjerstad, N.","Cupertino, Calif; International Society of Offshore and Polar Engineers",2011
,14,AI-Er-Ti (Aluminum-Erbium-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,15,AI-based Diagnostic System for Utility-Scale Solar Power Plants,"Tanimura, Kotaro; Nakagawa, Kazumitsu; Asao, Yoshihisa; Shimoguchi, Takefumi; Matsushita, Tomohisa",SUMITOMO ELECTRIC INDUSTRIES LTD,2020
,16,AI-ESTATE-The Next Generation,"Sheppard, John;Kaufman, Mark",unknown,1999
,17,AI-Based Software Defect Predictors: Applications and Benefits in a Case Study,"Tosun, A.; Bener, A.; Kale, R.","Menlo Park, CA; Cambridge, MA; London; AAAI Press; MIT Press; 1999",2011
,18,AI-Co-Ni-Ti (Aluminum-Cobalt-Nickel-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,19,AI-Ti-Y (Aluminum-Titanium-Yttrium),"Raghavan, V.",ASM INTERNATIONAL,2005
,20,"AI-human partnerships tackle ""fake news"": Machine learning can get you only so far-then human judgment is required - [News]","Strickland, E.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,21,AI-Co-Cu-Ti (Aluminum-Cobalt-CopDer-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,22,"AI: more than human, Barbican, 16 May – 26 August","Hodgson, Thomas",Taylor & Francis,2020
,23,AI's Hall of Fame,unknown,COMPUTER SOCIETY,2011
,24,AI-Driven Robotic Laboratories Show Promise,"O'Neill, Sean",Elsevier Science B.V. Amsterdam,2021
,25,AI-Sb-Ti (Aluminum-Antimonv-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,26,AI-CU-NI- I I (Aluminum-Copper-Nickel-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,27,AI-Ho-Ti (Aluminum-Holmium-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,28,AI-Pr-Ti (Aluminum-Praseodymium-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,29,AI-Based Speed Transducerless Control of Electromechanical Drives,"MacConnell, P.;Stronach, F.;Vas, P.",Springer,2000
,30,AI-Based Secure NOMA and Cognitive Radio-Enabled Green Communications: Channel State Information and Battery Value Uncertainties,"Sheikhzadeh, Saeed; Pourghasemian, Mohsen; Javan, Mohammad Reza; Mokari, Nader; Jorswieck, Eduard A.",IEEE,2021
,31,AI-guided parameter optimization in inverse treatment planning,"Yan, H.; Yin, F.-F.; Guan, H.-q.; Kim, J. H.",IOP PUBLISHING LTD,2003
,32,AI-Based Approach for Optimal Placement of EVCS and DG With Reliability Analysis,"Bilal, Mohd; Rizwan, M.; Alsaidan, Ibrahim; Almasoudi, Fahad M.",IEEE,2021
,33,AI-Pt-Ti (Aluminum-Platinum-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,34,AI-Ni-Ti-V (Aluminum-Nickel-Titanium-Vanadium),"Raghavan, V.",ASM INTERNATIONAL,2005
,35,AI's Geographic Outreach: Mexico and Latin America,"Cantu, F. J.",COMPUTER SOCIETY,2003
,36,AI3 Disease-Free Survival (DFS) As a Surrogate Endpoint for Overall Survival (OS) in Adults with Resectable Esophageal or Gastroesophageal Junction Cancer: A Correlation Meta-Analysis,"Leung, L.; Kurt, M.; Singh, P.; Kim, I.; Donnellan, G.; Kanters, S.","Elsevier Science B.V., Amsterdam",2021
,37,"AiS: Integrating Mathematics, Science and Technology in Precolloge Classrooms","Helland, B.; Summers, B.; Allen, R.; Snyder, J.",Association for the Advancement of Computing in Education,1997
,38,AI-assisted Computer Network Operations testbed for Nature-Inspired Cyber Security based adaptive defense simulation and analysis,"Shandilya, Shishir Kumar; Upadhyay, Saket; Kumar, Ajit; Nagar, Atulya K.","Elsevier Science B.V., Amsterdam.",2022
,39,AI-Powered Radiomics Algorithm Based on Slice Pooling for the Glioma Grading,"Zhao, Guohua; Man, Panpan; Bai, Jie; Li, Longfei; Wang, Peipei; Yang, Guan; Shi, Lei; Tao, Yongcai; Lin, Yusong; Cheng, Jingliang",IEEE,2021
,40,AI's path to the present and the painful transitions along the way,"Garcia-Murillo, Martha; MacInnes, Ian",Emerald Group Publishing Limited,2019
,41,AI-Enabled Autonomous Drones for Fast Climate Change Crisis Assessment,"Hernandez, Daniel; Cano, Juan-Carlos; Silla, Federico; Calafate, Carlos T.; Cecilia, Jose M.",IEEE,2021
,42,"AI-Augmented, Ripple-Diamond-Chain Shaped, Rateless Routing in Wireless Mesh Networks With Multibeam Directional Antennas","Bao, Ke",IEEE,2018
,43,AI-generated in silico data in patent applications,"Finnie, Peter J.","Elsevier Science B.V., Amsterdam.",2018
,44,Ai's GO,"Leavitt, Michele",Heldref Publications,1996
,45,"AI-2 Key Enzyme S-Ribosylhomocysteinase from Strain Klebsiella pneumoniae CICC 10011 Producing 2,3-Butanediol","Dai, J.-y.; Zhang, L.-f.; Xiu, Z.-l.",HIGHER EDUCATION PRESS,2011
,46,AI-Assisted Sigma-Delta Converters&#x2014;Application to Cognitive Radio,"de la Rosa, Jose M.",IEEE,2022
,47,"Ai's ""Killing Floor"" (Book Review)","Albers, Randall",University of Chicago Press,1979
,48,AI-augmented multidisciplinary teams: hype or hope?,"Di Ieva, Antonio","Elsevier Science B.V., Amsterdam",2019
,49,AI-enabled high-resolution scanning coherent diffraction imaging,"Cherukara, Mathew J.; Zhou, Tao; Nashed, Youssef; Enfedaque, Pablo; Hexemer, Alex; Harder, Ross J.; Holt, Martin V.",American Institute of Physics,2020
,50,AI-based mobile context-aware recommender systems from an information management perspective: Progress and directions,"del Carmen Rodríguez-Hernández, María; Ilarri, Sergio","Elsevier Science B.V., Amsterdam.",2021
,51,AI-based detection of reduced ejection fraction from the electrocardiogram: Is the future here already?,"Aro, Aapo L.; Jaakkola, Ilkka","Elsevier Science B.V., Amsterdam.",2021
,52,AI: from rational agents to socially responsible agents,"Vetrò, Antonio; Santangelo, Antonio; Beretta, Elena; De Martin, Juan Carlos",Emerald Group Publishing Limited,2019
,53,AI-Based Thermal EMS Solution That Contributes to the Reduction of CO~2 Emissions From Steam Powered Facilities,"Yamaguchi, Takahisa; Tatta, Naoto",FUJI ELECTRIC CO LTD,2021
,54,AI-Timoshenko: Automatedly Discovering Simplified Governing Equations for Applied Mechanics Problems From Simulated Data,Zhanchao Huang ; Chunjiang Li ; Zhilong Huang ; Yong Wang ; Hanqing Jiang,American Society of Mechanical Engineering (ASME),2021
,55,AI-Ti (Aluminum-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,56,AI-B-Ti (Aluminum-Boron-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,57,AI4 Comparing Machine-Learning Methods for the Prediction of Major Adverse Limb Events and Mortality after a Percutaneous Intervention,"Gressler, L.; Marinac-Dabic, D.; Dosreis, S.; Goodney, P.; Mullins, C.D.; Shaya, F.T.","Elsevier Science B.V., Amsterdam",2021
,58,"AI-Based Autonomous Control, Management, and Orchestration in 5G: From Standards to Algorithms","Bega, Dario; Gramaglia, Marco; Perez, Ramon; Fiore, Marco; Banchs, Albert; Costa-Perez, Xavier",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,59,AI2 The Impact of Including Race and Ethnicity in Risk Prediction Models on Racial Bias,"Khor, S.; Hahn, E.E.; Haupt, E.C.; Shankaran, V.; Clark, S.; Rodriguez, P.; Chen, Y.; Bansal, A.","Elsevier Science B.V., Amsterdam",2021
,60,AI's Next Brain Wave: InformationWeek looks at four research labs working in artificial intelligence,unknown,"CMP PUBLICATIONS, INC.",2005
,61,"AI-empowered, blockchain and SDN integrated security architecture for IoT network of cyber physical systems","Latif, Sohaib A.; Wen, Fang B. Xian; Iwendi, Celestine; Wang, Li-li F.; Mohsin, Syed Muhammad; Han, Zhaoyang; Band, Shahab S.","Elsevier Science B.V., Amsterdam.",2022
,62,AI-Driven UAV-NOMA-MEC in Next Generation Wireless Networks,"Yang, Zhong; Chen, Mingzhe; Liu, Xiao; Liu, Yuanwei; Chen, Yue; Cui, Shuguang; Poor, H. Vincent",IEEE,2021
,63,AI: Critical Steps along with Precautions Required to Achieve Better Conception Rate,"Sandhu, T. S.","INDIAN DAIRY SCIENCE ASSOCIATION, SECY",2003
,64,Ai2NU: A Cytoscape plugin for uniformization of biomolecular accession identifiers,"Xie, J.; Tan, J.; Yi, R. g.; Cheng, X.; Wang, X. w.; Zhang, W.",SHANGHAI UNIVERSITY PRESS,2011
,65,AI-enhanced constellation design for NOMA system: A model driven method,"Wang, Sen; Yu, Hanxiao; Yuan, Yifei; Liu, Guangyi; Fei, Zesong",IEEE,2020
,66,AI: the HR revolution,"Gulliford, Fred; Parker Dixon, Amy",Emerald Group Publishing Ltd,2019
,67,AI-Aided Online Adaptive OFDM Receiver: Design and Experimental Results,"Jiang, Peiwen; Wang, Tianqi; Han, Bin; Gao, Xuanxuan; Zhang, Jing; Wen, Chao-Kai; Jin, Shi; Li, Geoffrey Ye",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2021
,68,AI-Assisted Echocardiographic Prescreening of Heart Failure With Preserved Ejection Fraction on the Basis of Intrabeat Dynamics,"Chiou, Yu-An; Hung, Chung-Lieh; Lin, Shien-Fong",Elsevier Science B.V. Amsterdam,2021
,69,AI-JAX,"Gervais, Daniel J.",Kluwer Law International,2021
,70,AIS: safety and security limitations,"Bax, M. C. O.; Baxter, P.",NAUTICAL INSTITUTE,2004
,71,AI-Based Channel Prediction in D2D Links: An Empirical Validation,"Simmons, Nidhi; Gomes, Samuel Borges Ferreira; Yacoub, Michel Daoud; Simeone, Osvaldo; Cotton, Simon L.; Simmons, David E.",IEEE,2022
,72,AI-Cr-Ti (Aluminum-Chromium-Titanium),"Raghavan, V.",ASM INTERNATIONAL,2005
,73,AI-enabled real-time dual-comb molecular fingerprint imaging,"Voumard, Thibault; Wildi, Thibault; Brasch, Victor; Álvarez, Raúl Gutiérrez; Ogando, Germán Vergara; Herr, Tobias",OPTICAL SOCIETY OF AMERICA,2020
,74,AI-Native Network Slicing for 6G Networks,"Wu, Wen; Zhou, Conghao; Li, Mushu; Wu, Huaqing; Zhou, Haibo; Zhang, Ning; Shen, Xuemin Sherman; Zhuang, Weihua",IEEE,2022
,75,AI: from deep learning to in-memory computing,"Lung, Hsiang-Lan;",SPIE,2019
,76,AI-Techniques and the Knowledge Pump,"Van Heijst, G.;Hofman, M.;Kruizinga, E.;Van der Spek, R.",AAAI,1997
,77,AI- modelling of molecular identification and feminization of wolbachia infected Aedes aegypti,"Iftikhar, Mehwish; Iftikhar, Sahrish; Sohail, Ayesha; Javed, Sana","Elsevier Science B.V., Amsterdam.",2020
,78,"AI-Driven COVID-19 Tools to Interpret, Quantify Lung Images","Mertz, Leslie",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2020
,79,AI-powered transmitted light microscopy for functional analysis of live cells,"Kim, Dongyoung; Min, Yoohong; Oh, Jung Min; Cho, Yoon-Kyoung",Nature Publishing,2019
,80,AI's Future: Innovating in Business and Society,"Benjamins, V. R.",COMPUTER SOCIETY,2006
,81,AI-Based Cloud-Edge-Device Collaboration in 6G Space-Air-Ground Integrated Power IoT,"Wang, Zhao; Zhou, Zhenyu; Zhang, Hui; Zhang, Geng; Ding, Huixia; Farouk, Ahmed",IEEE,2022
,82,AI-Driven Collaborative Resource Allocation for Task Execution in 6G-Enabled Massive IoT,"Lin, Kai; Li, Yihui; Zhang, Qiang; Fortino, Giancarlo",IEEE,2021
,83,AI-Driven Data Monetization: The Other Face of Data in IoT-Based Smart and Connected Health,"Firouzi, Farshad; Farahani, Bahar; Barzegari, Mojtaba; Daneshmand, Mahmoud",IEEE,2020
,84,AI-2 signalling is induced by acidic shock in probiotic strains of Lactobacillus spp.,"Moslehi-Jenabian, S.; Gori, K.; Jespersen, L.","Elsevier Science B.V., Amsterdam.",2009
,85,AI/SiC Baseplate Hybrid Power Modules: Evaluation of the Thermomechanical Performances,"Azzopardi, S.; Thebaud, J.-M.; Woirgard, E.; Zardini, C.",IEEE Service Center,1998
,86,AI-supported management of distributed processes: An investigation of learning process,"Dzega, D.; Pietruszkiewicz, W.",Wydawn Uniwersytetu Ekonomicznego we Wroclawiu,2011
,87,AI-Si Alloys as a Model System for Damage Accumulation in Composite Materials,"Slamova, M",Akademie-Verlag,1998
,88,AI: Computers To `Teach' Writing In Two States,unknown,EXECUTIVE INTELLIGENCE REVIEW NEWS SERVICE INC,2002
,89,AI-based algorithms for protein surface comparisons,"Pickering, S. J.",PERGAMON PRESS,2001
,90,AI-PCSAFT approach: New high predictive method for estimating PC-SAFT pure component properties and phase equilibria parameters,"Abdallah el hadj, A.; Laidi, M.; Hanini, S.","Elsevier Science B.V., Amsterdam.",2022
,91,AI-2 to the rescue against antibiotic-induced intestinal dysbiosis?,"Sun, Zhongke; Grimm, Verena; Riedel, Christian U.","Elsevier Science B.V., Amsterdam.",2015
,92,AIS/CESIO environmental surfactant monitoring programme. SDIA sewage treatment pilot study on linear alkylbenzene sulphonate (LAS),"Holt, M. S.",PERGAMON PRESS,1995
,93,AI: A BLESSING AND A CURSE.,"NATHAN, BARRY. ",Institute Management Accoutants,2021
,94,"AI-Oriented Large-Scale Video Management for Smart City: Technologies, Standards, and Beyond","Duan, Lingyu",IEEE COMPUTER SOCIETY,2019
,95,AI-aided Hammering Test System to Automatically Generate Anomaly Maps,Masaya Iwata ; Yuji Kasai ; Jiaxing Ye ; Ching-Tzun Chang ; Takashi Okuma ; Yusuke Nozoe ; Sota Takatsu ; Yuichi Kubota ; Masahiro Murakawa,M Y U,2019
,96,AI/SIC for Power Electronics Packaging,"Premkumar, M. K.",ZM Communications GmbH,1997
,97,AI-VCR Searching without Information,"Ye, Q.S.",Stafa-Zuerich; Trans Tech,2011
,98,"AI1 PREDICTORS OF HIGH HEALTHCARE UTILISERS AMONG PATIENTS WITH CHRONIC HYPOPARATHYROIDISM Â€"" APPLICATION OF MACHINE LEARNING METHODOLOGY","Chen, K.; Gao, W.; Wang, Y.; Swallow, E.","Elsevier Science B.V., Amsterdam",2019
,99,AI-VCR Subtraction Realizing with NM,"Ye, Q.S.",Stafa-Zuerich; Trans Tech,2011
,100,AI-aided Hammering Test System to Automatically Generate Anomaly Maps (S & M 1995),"Iwata, Masaya; Kasai, Yuji; Ye, Jiaxing; Chang, Ching-Tzun; Okuma, Takashi; Nozoe, Yusuke; Takatsu, Sota; Kubota, Yuichi; Murakawa, Masahiro",SCIENTIFIC PUBLISHING DIVISION MYU,2019
,1,AI2 GEO-SPATIAL RISK ASSESSMENT OF ASTHMA HEALTH RESOURCE USE AT THE MUNICIPAL LEVEL IN THE GREATER HELSINKI METROPOLITAN AREA OF FINLAND,"Navaratnam, P.; Friedman, H.S.; Tammi, I.; Navaratnam, A.","Elsevier Science B.V., Amsterdam",2019
,2,AI-Enabled Emotion Communication,"Li, Yujie; Jiang, Yinging; Tian, Daxin; Hu, Long; Lu, Huimin; Yuan, Zhiyong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,3,AI-Based Resource Management in Beyond 5G Cloud Native Environment,"Boudi, Abderrahmane; Bagaa, Miloud; Poyhonen, Petteri; Taleb, Tarik; Flinck, Hannu",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,4,AI-VCR Computational Research on Visibility of 3D Materials Solids Reality Pictures,"Ye, Q.S.",Stafa-Zuerich; Trans Tech,2011
,5,AIS-Based Coordinated and Adaptive Control of Generator Excitation Systems for an Electric Ship,"Yan, C.; Venayagamoorthy, G. K.; Corzine, K.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2012
,6,AI-powered recommendations: the roles of perceived similarity and psychological distance on persuasion,"Ahn, Jungyong; Kim, Jungwon; Sung, Yongjun",BLACKWELL PUBLISHERS,2021
,7,AI4 GENERAL PAIRWISE COMPARISONS TO SUPPORT QUANTITATIVE MULTIPLE CRITERIA DECISION ANALYSIS,"Chiem, J.C.; Cantagallo, E.; Kicinski, M.; Saad, E.; Buyse, M.; Ciani, O.","Elsevier Science B.V., Amsterdam",2019
,8,AI-based optimization of PEM fuel cell catalyst layers for maximum power density via data-driven surrogate modeling,"Wang, Bowen; Xie, Biao; Xuan, Jin; Jiao, Kui","Elsevier Science B.V., Amsterdam.",2020
,9,"AI-based methodology of integrating affective design, engineering, and marketing for defining design specifications of new products","Kwong, C.K.; Jiang, Huimin; Luo, X.G.","Elsevier Science B.V., Amsterdam.",2016
,10,AI-based carcinoma detection and classification using histopathological images: A systematic review,"Prabhu, Swathi; Prasad, Keerthana; Robels-Kelly, Antonio; Lu, Xuequan","Elsevier Science B.V., Amsterdam.",2022
,11,AI-based Approach for Predicting the Machinability under Consideration of Material Batch Deviations in Turning Processes,"Lutz, Benjamin; Kisskalt, Dominik; Regulin, Daniel; Franke, Jörg","Elsevier Science B.V., Amsterdam",2020
,12,AI-based project risk management process for a kind of manufacturing alliance,"Cao, H.",INDERSCIENCE ENTERPRISES LTD,2008
,13,"AI-Enabled E-Recruitment Services Make Job Searching, Application Submission, and Employee Selection More Interactive","Wang, Xuhui; Haque, Md Jamirul; Li, Wenjing; Butt, Asad Hassan; Ahmad, Hassan; Shaikh, Hamid Ali",EUROSPAN LTD,2021
,14,AI-based pipelines for the automated recognition of hepatocellular carcinoma and the semantic segmentation of virtually stained liver biopsies,"Scodellaro, Riccardo; Inverso, Donato; Panzeri, Davide; Bouzin, Margaux; D'Alfonso, Laura; Collini, Maddalena; Chirico, Giuseppe; Sironi, Laura","Elsevier Science B.V., Amsterdam",2022
,15,AI-TOCRACY,"Beraja, Martin; Kao, Andrew; Yang, David Y.; Yuchtman, Noam",NATIONAL BUREAU OF ECONOMIC RESEARCH INC,2021
,16,AI: A Key Enabler for Sustainable Development Goals: Part 2 [Industry Activities],"Khamis, Alaa; Li, Howard; Prestes, Edson; Haidegger, Tamas","THE IEEE, INC.",2019
,17,AI/NLP Technologies Applied to Spacecraft Mission Design,"Pazienza, M. T.; Pennacchiotti, M.; Vindigni, M.; Zanzotto, F. M.",SPRINGER-VERLAG,2005
,18,AI3 DEVELOPMENT OF A DECISION-AID FOR PATIENTS WITH DEPRESSION CONSIDERING TREATMENT OPTIONS: PREDICTION OF TREATMENT RESPONSE USING A DATA-DRIVEN APPROACH,"Kan, K.; Jörg, F.; Wardenaar, K.J.; Blaauw, F.J.; Visser, E.; Buskens, E.; Mulder, H.; Cath, D.; Doornbos, B.; Schoevers, R.A.; Feenstra, T.","Elsevier Science B.V., Amsterdam",2019
,19,AI-based chatterbots and spoken English teaching: a critical analysis,"Sha, G.",Taylor & Francis,2009
,20,AI'S BIG IDEA: reinvent HOW WE INVENT,unknown,TECHNOLOGY REVIEW,2019
,21,AI-enabled Enterprise Information Systems for Manufacturing,"Zdravković, Milan; Panetto, Hervé; Weichhart, Georg",Taylor & Francis,2022
,22,AI-EigenSnake: an affine-invariant deformable contour model for object matching,"Xue, Z.; Li, S. Z.; Teoh, E. K.",ELSEVIER,2002
,23,AI4SeaIce: Toward Solving Ambiguous SAR Textures in Convolutional Neural Networks for Automatic Sea Ice Concentration Charting,"Stokholm, Andreas; Wulf, Tore; Kucik, Andrzej; Saldo, Roberto; Buus-Hinkler, Jorgen; Hvidegaard, Sine Munk",IEEE; 1999,2022
,24,AI-Aided Integrated Terrestrial and Non-Terrestrial 6G Solutions for Sustainable Maritime Networking,"Saafi, Salwa; Vikhrova, Olga; Fodor, Gabor; Hosek, Jiri; Andreev, Sergey",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,25,AI-SIMCOG: a simulator for spiking neurons and multiple animats’ behaviours,"Cyr, A.; Boukadoum, M.; Poirier, P.",Springer Science + Business Media,2009
,26,AI-based structure prediction empowers integrative structural analysis of human nuclear pores,"Mosalaganti, S.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2022
,27,AI-Fe-Nd Powders Prepared by Gas Atomisation,"Cardoso, K. R.; Garcia Escorial, A.; Lieblich, M.; Yavari, A. R.",Transtec Publications,1998
,28,AI-Based Proton Exchange Membrane Fuel Cell Inlet Relative Humidity Control,"Song, Yanpo; Wang, Xiangwei",IEEE,2021
,29,AI-Empowered Maritime Internet of Things: A Parallel-Network-Driven Approach,"Yang, Tingting; Chen, Jiacheng; Zhang, Ning",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,30,AI-Biometric-Driven Smartphone App for Strict Post-COVID Home Quarantine Management,"Jaswal, Gaurav; Bharadwaj, Rohit; Tiwari, Kamlesh; Thapar, Daksh; Goyal, Piyush; Nigam, Aditya",IEEE,2021
,31,AI&#x0027;s 10 to Watch: CALL FOR NOMINATIONS,unknown,IEEE,2022
,32,AI-Based Methods in Practical Fault Location of Medium Voltage Distribution Feeders,"Jarventausta, P.; Karenlampi, M.; Verho, P.; Partanen, J.",IEEE,1996
,33,AI&#x0027;s 10 to Watch: CALL FOR NOMINATIONS,unknown,IEEE COMPUTER SOCIETY,2022
,34,"AI-700 pharmacokinetics, tissue distribution and exhaled elimination kinetics in rats","Straub, J. A.; Chickering, D. E.; Hartman, T. G.; Gloff, C. A.; Bernstein, H.","Elsevier Science B.V., Amsterdam.",2007
,35,AI-generated Corporate Environmental Data: An Event Study with Predictive Power,"Lee, Yung-Jae; Zhang, Xiaotian Tina",ELSEVIER SCIENCE B.V. AMSTERDAM,2019
